Index,Title,Year,Rating,User_Rating_Count,tmdb_id,imdb_id
107,Raiders of the Lost Ark,1981,8.4,1.1M,85,tt0082971
108,Joker,2019,8.3,1.7M,475557,tt7286456
109,Donnie Darko,2001,8.0,900K,141,tt0246578
110,The Wild Robot,2024,8.2,207K,1184918,tt29623480
111,The Devil's Advocate,1997,7.5,436K,1813,tt0118971
112,Mad Max: Fury Road,2015,8.1,1.2M,76341,tt1392190
113,Green Book,2018,8.2,665K,490132,tt6966692
114,Kingsman: The Secret Service,2014,7.7,767K,207703,tt2802144
115,The Whale,2022,7.6,267K,785084,tt13833688
116,All Quiet on the Western Front,2022,7.8,299K,49046,tt1016150
117,Your Name.,2016,8.4,378K,372058,tt5311514
118,Grave of the Fireflies,1988,8.5,373K,12477,tt0095327
119,Furiosa: A Mad Max Saga,2024,7.5,310K,786892,tt12037194
120,Split,2016,7.3,610K,381288,tt4972582
121,Spider-Man: Into the Spider-Verse,2018,8.4,766K,324857,tt4633694
122,A Quiet Place,2018,7.5,646K,447332,tt6644200
123,"Three Billboards Outside Ebbing, Missouri",2017,8.1,597K,359940,tt5027774
124,The Father,2020,8.2,232K,600354,tt10272386
125,Casablanca,1942,8.5,648K,289,tt0034583
126,Nightcrawler,2014,7.8,655K,242582,tt2872718
127,Manchester by the Sea,2016,7.8,348K,334541,tt4034228
128,Coco,2017,8.4,685K,354912,tt2380307
129,Inside Out,2015,8.1,895K,150540,tt2096673
130,Come and See,1985,8.3,119K,25237,tt0091251
131,Logan,2017,8.1,912K,263115,tt3315342
132,V for Vendetta,2005,8.1,1.2M,752,tt0434409
133,Identity,2003,7.3,288K,2832,tt0309698
134,The Exorcist,1973,8.1,492K,9552,tt0070047
135,Trainspotting,1996,8.1,762K,627,tt0117951
136,Scent of a Woman,1992,8.0,362K,9475,tt0105323
137,The Secret in Their Eyes,2009,8.2,239K,25376,tt1305806
138,"Lock, Stock and Two Smoking Barrels",1998,8.1,644K,100,tt0120735
139,Zack Snyder's Justice League,2021,7.9,467K,791373,tt12361974
140,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,547K,935,tt0057012
141,In Time,2011,6.7,477K,49530,tt1637688
142,Dances with Wolves,1990,8.0,306K,581,tt0099348
143,Nomadland,2020,7.3,207K,581734,tt9770150
144,Bridge to Terabithia,2007,7.2,188K,1265,tt0398808
145,Thor: Ragnarok,2017,7.9,879K,284053,tt3501632
146,The Butterfly Effect,2004,7.6,550K,1954,tt0289879
147,8 Mile,2002,7.2,347K,65,tt0298203
148,Gran Torino,2008,8.1,853K,13223,tt1205489
149,The Reader,2008,7.6,272K,8055,tt0976051
150,The Amazing Spider-Man,2012,6.9,751K,1930,tt0948470
151,Mr. Nobody,2009,7.7,256K,31011,tt0485947
152,What's Eating Gilbert Grape,1993,7.7,266K,1587,tt0108550
153,Spider-Man: Far from Home,2019,7.3,622K,429617,tt6320628
154,A Silent Voice: The Movie,2016,8.2,133K,378064,tt5323662
155,Doctor Strange in the Multiverse of Madness,2022,6.9,533K,453395,tt9419884
156,Dallas Buyers Club,2013,7.9,543K,152532,tt0790636
157,Slumdog Millionaire,2008,8.0,904K,12405,tt1010048
158,Wonder,2017,7.9,193K,406997,tt2543472
159,The Machinist,2004,7.6,437K,4553,tt0361862
160,A Separation,2011,8.3,275K,60243,tt1832382
161,Maleficent,2014,6.9,420K,102651,tt1587310
162,Juno,2007,7.4,569K,7326,tt0467406
163,Elemental,2023,7.0,159K,976573,tt15789038
164,For a Few Dollars More,1965,8.2,296K,938,tt0059578
165,Tetris,2023,7.4,103K,726759,tt12758060
166,Paprika,2006,7.7,109K,4977,tt0851578
167,Castle in the Sky,1986,8.0,195K,10515,tt0092067
168,Kiki's Delivery Service,1989,7.8,184K,16859,tt0097814
169,Begin Again,2013,7.4,175K,198277,tt1980929
170,Ponyo,2008,7.6,181K,12429,tt0876563
171,War for the Planet of the Apes,2017,7.4,323K,281338,tt3450958
172,Modern Times,1936,8.5,282K,3082,tt0027977
173,The Adventures of Tintin,2011,7.3,253K,17578,tt0983193
174,Tarzan,1999,7.3,265K,37135,tt0120855
175,Drishyam,2015,8.2,106K,352173,tt4430212
176,Paterson,2016,7.3,94K,370755,tt5247022
177,Whisper of the Heart,1995,7.8,81K,37797,tt0113824
178,The Fate of the Furious,2017,6.6,270K,337339,tt4630562
179,Let Me In,2010,7.1,132K,41402,tt1228987
180,The Secret World of Arrietty,2010,7.6,115K,51739,tt1568921
181,Hercules,2014,6.0,170K,184315,tt1267297
182,Amour,2012,7.9,110K,86837,tt1602620
183,My Name Is Khan,2010,7.9,122K,26022,tt1188996
184,The Choice,2016,6.5,49K,330483,tt3797868
